,total,benign,malware,b-m
movmovmovsubmovmovmovcaladdret,6732,0.8187,0.011,0.8077
ldaldaldacalret,7971,0.8873,0.0815,0.8058
ldrldraddbl_,6536,0.8065,0.001,0.8055
movpuspuspuspuscaljmp,9062,0.9481,0.1431,0.805
nopbl_,6496,0.8028,0,0.8028
strcbn,6490,0.802,0,0.802
leapussubmovleamovcalleapopret,6496,0.8015,0.001,0.8005
pussubmovleamovcalleapopret,6496,0.8014,0.0011,0.8003
jz_,376618,21.5907,20.7915,0.7992
leamovcalmovor_movmovjmp,6463,0.7987,0,0.7987
subcmpret,6510,0.7998,0.0039,0.7959
movor_tesjs_,6585,0.8034,0.0086,0.7948
stpmovbl_,6390,0.7897,0,0.7897
movleacmpsetcalmovaddret,6373,0.7876,0,0.7876
addstrbl_,6377,0.787,0.0009,0.7861
movmovtesjs_,35741,2.4345,1.6518,0.7827
ubfcbn,6331,0.7824,0,0.7824
movmovmovmovmovcmpjnz,43070,2.8459,2.0637,0.7822
submovcaladdret,8264,0.8891,0.1101,0.779
movmovmovcalmovcmpjz_,16906,1.3727,0.5971,0.7756
movmovcaladdret,9636,0.9639,0.1891,0.7748
movaddmovmovcmpjz_,13815,1.1964,0.4257,0.7707
movcalmovcmpjge,13291,1.1668,0.3964,0.7704
movxormovjmp,24967,1.8222,1.0526,0.7696
movmovcalpoppoppopret,32929,2.2694,1.4998,0.7696
movstrmovb__,6228,0.7688,0.0007,0.7681
subleamovlealealeamovcaladdret,6214,0.7679,0,0.7679
adraddmovbl_,6211,0.7675,0,0.7675
movmovmovmovmovcaltesjnz,15525,1.2895,0.5241,0.7654
subxorleamovmovleamovmovleamov...,6192,0.7652,0,0.7652
movcalnoptesjz_,9468,0.948,0.185,0.763
pusmovcaltesjz_,116546,6.9618,6.2003,0.7615
addsubtesjnz,6231,0.7652,0.004,0.7612
puspuscalmovleapuspusmovcaltes...,6700,0.7915,0.0304,0.7611
puspusmovmovcmpjz_,27124,1.9376,1.1786,0.759
ldrldrldrmovblxmovblxb__,6135,0.7582,0,0.7582
pusmovmovpuspusdecjnz,27236,1.9413,1.187,0.7543
movmovleacalnopmovmovmovlealea...,6086,0.7521,0,0.7521
movmovmovcalor_loccmpjnz,6063,0.7493,0,0.7493
intxortesjnz,10491,0.9964,0.25,0.7464
movmovmovmovcalsubmovmovtesjz_,6036,0.7452,0.0006,0.7446
movpoppoppoppopret,76911,4.7243,3.9833,0.741
movbt_jb_,10780,1.0082,0.27,0.7382
movmovmovcaladdret,6359,0.7594,0.022,0.7374
movldpldrret,5952,0.7355,0,0.7355
movmovandtesjnz,9454,0.9296,0.1989,0.7307
xormovcaljmp,24878,1.796,1.0653,0.7307
newstsret,6828,0.7819,0.0516,0.7303
leamovmovret,7455,0.8156,0.088,0.7276
movcalmovtesjs_,9344,0.9213,0.1945,0.7268
calpopaddmovpoppoppoppopret,29102,2.0311,1.3043,0.7268
